"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Ylin lämpötila [°C]"
"Enontekiö Kilpisjärvi Saana","2023","11","6","02:00","-4.7"
"Enontekiö Kilpisjärvi Saana","2023","11","7","02:00","-4.7"
"Enontekiö Kilpisjärvi Saana","2023","11","8","02:00","-5.2"
"Enontekiö Kilpisjärvi Saana","2023","11","9","02:00","-6.7"
"Enontekiö Kilpisjärvi Saana","2023","11","10","02:00","-6.7"
"Enontekiö Kilpisjärvi Saana","2023","11","11","02:00","-6.7"
"Enontekiö Kilpisjärvi Saana","2023","11","12","02:00","-7.6"
"Enontekiö Kilpisjärvi Saana","2023","11","13","02:00","-10.2"
"Enontekiö Kilpisjärvi Saana","2023","11","14","02:00","-7.7"
"Enontekiö Kilpisjärvi Saana","2023","11","15","02:00","-7.9"
"Enontekiö Kilpisjärvi Saana","2023","11","16","02:00","-7.8"
"Enontekiö Kilpisjärvi Saana","2023","11","17","02:00","-5.7"
